| ITERS |     BETA     |       X       |       Y       |     NORM     |
|_____________________________________________________________________|
|0      |0,000000      |0,100000       |2,000000       |3,290993      |
|1      |1,000000      |0,551254       |0,548833       |3,290993      |
|2      |0,250000      |0,567673       |0,556550       |0,025310      |
|3      |0,000000      |0,567673       |0,556550       |0,024573      |
|4      |0,000000      |0,567673       |0,556550       |0,024573      |
|5      |0,000000      |0,567673       |0,556550       |0,024573      |
|6      |0,000000      |0,567673       |0,556550       |0,024573      |
|7      |0,000000      |0,567673       |0,556550       |0,024573      |
|8      |0,000000      |0,567673       |0,556550       |0,024573      |
|9      |0,000000      |0,567673       |0,556550       |0,024573      |
|10     |0,000000      |0,567673       |0,556550       |0,024573      |
|11     |0,000000      |0,567673       |0,556550       |0,024573      |
|12     |0,000000      |0,567673       |0,556550       |0,024573      |
|13     |0,000000      |0,567673       |0,556550       |0,024573      |
|14     |0,000000      |0,567673       |0,556550       |0,024573      |
|15     |0,000000      |0,567673       |0,556550       |0,024573      |
|16     |0,000000      |0,567673       |0,556550       |0,024573      |
|17     |0,000000      |0,567673       |0,556550       |0,024573      |
|18     |0,000000      |0,567673       |0,556550       |0,024573      |
|19     |0,000000      |0,567673       |0,556550       |0,024573      |
|20     |0,000000      |0,567673       |0,556550       |0,024573      |
|21     |0,000000      |0,567673       |0,556550       |0,024573      |
|22     |0,000000      |0,567673       |0,556550       |0,024573      |
|23     |0,000000      |0,567673       |0,556550       |0,024573      |
|24     |0,000000      |0,567673       |0,556550       |0,024573      |
|25     |0,000000      |0,567673       |0,556550       |0,024573      |
|26     |0,000000      |0,567673       |0,556550       |0,024573      |
|27     |0,000000      |0,567673       |0,556550       |0,024573      |
|28     |0,000000      |0,567673       |0,556550       |0,024573      |
|29     |0,000000      |0,567673       |0,556550       |0,024573      |
|30     |0,000000      |0,567673       |0,556550       |0,024573      |
|31     |0,000000      |0,567673       |0,556550       |0,024573      |
|32     |0,000000      |0,567673       |0,556550       |0,024573      |
|33     |0,000000      |0,567673       |0,556550       |0,024573      |
|34     |0,000000      |0,567673       |0,556550       |0,024573      |
|35     |0,000000      |0,567673       |0,556550       |0,024573      |
|36     |0,000000      |0,567673       |0,556550       |0,024573      |
|37     |0,000000      |0,567673       |0,556550       |0,024573      |
|38     |0,000000      |0,567673       |0,556550       |0,024573      |
|39     |0,000000      |0,567673       |0,556550       |0,024573      |
|40     |0,000000      |0,567673       |0,556550       |0,024573      |
|41     |0,000000      |0,567673       |0,556550       |0,024573      |
|42     |0,000000      |0,567673       |0,556550       |0,024573      |
|43     |0,000000      |0,567673       |0,556550       |0,024573      |
|44     |0,000000      |0,567673       |0,556550       |0,024573      |
|45     |0,000000      |0,567673       |0,556550       |0,024573      |
|46     |0,000000      |0,567673       |0,556550       |0,024573      |
|47     |0,000000      |0,567673       |0,556550       |0,024573      |
|48     |0,000000      |0,567673       |0,556550       |0,024573      |
